2022-07-07 13:53:47.969916-> 38500,39.5,37.88,-6,0,4.077,3998,0.0,0.0,43.85,24.32,64.03,0.11,1.02,0.05,-0.52,-0.1,0.05
2022-07-07 13:53:48.247145-> 38750,39.5,37.88,-6,0,4.08,4018,0.0,0.0,2.72,-9.22,47.64,0.22,1.0,-0.12,-0.57,-0.1,0.05
2022-07-07 13:53:48.783002-> 39000,39.5,37.88,-6,0,4.088,4015,0.0,0.0,-30.98,-7.87,100.83,0.53,0.76,0.02,-0.71,-0.08,0.03
2022-07-07 13:53:48.923146-> 39250,39.5,37.88,-6,0,4.08,3895,0.0,0.0,-13.64,-2.53,144.23,0.81,0.5,0.03,-0.81,-0.0,0.03
2022-07-07 13:53:49.029893-> 39500,39.5,37.88,-2,0,4.089,3876,0.0,0.0,-5.98,2.11,71.17,1.09,0.19,0.07,-0.89,0.13,0.02
2022-07-07 13:53:49.195416-> 39500,39.5,37.88,-7,0,4.093,3814,0.0,0.0,-22.74,-10.53,140.41,0.89,-0.36,0.09,-0.89,0.28,0.01
2022-07-07 13:53:49.358457-> 39750,39.5,37.88,-6,0,4.079,3810,0.0,0.0,-11.93,-6.59,48.16,0.98,-0.55,0.0,-0.88,0.34,0.02
2022-07-07 13:53:49.495401-> 40000,39.5,37.9,-6,0,4.089,3830,0.0,0.0,19.47,8.51,18.65,0.76,-0.58,0.08,-0.85,0.41,0.0
2022-07-07 13:53:49.622078-> 40250,39.5,37.9,-8,0,4.096,3871,0.0,0.0,2.96,-5.8,-5.28,0.84,-0.57,0.1,-0.85,0.4,-0.0
2022-07-07 13:53:49.829932-> 40500,39.5,37.9,-6,0,4.095,3855,0.0,0.0,-12.79,-11.66,0.58,0.81,-0.51,0.08,-0.85,0.39,0.01
2022-07-07 13:53:49.988549-> 40500,39.5,37.88,-6,0,4.089,3847,0.0,0.0,-49.32,-8.73,-1.53,0.82,-0.59,-0.08,-0.85,0.38,0.04
2022-07-07 13:53:50.135190-> 40750,39.5,37.9,-6,0,4.095,3838,0.0,0.0,11.87,5.65,3.97,0.75,-0.58,-0.08,-0.85,0.39,0.04
2022-07-07 13:53:50.357564-> 41000,39.5,37.9,-4,0,4.091,3826,0.0,0.0,-1.83,-5.43,-1.77,0.85,-0.64,-0.08,-0.85,0.39,0.04
2022-07-07 13:53:50.557042-> 41250,39.5,37.88,-6,0,4.093,3815,0.0,0.0,12.73,2.53,-1.31,0.78,-0.59,-0.05,-0.84,0.36,-0.0
2022-07-07 13:53:50.763561-> 41500,39.5,37.9,-6,0,4.088,3814,0.0,0.0,4.94,-0.03,-3.85,0.81,-0.58,-0.04,-0.84,0.36,-0.01
2022-07-07 13:53:50.930125-> 41500,39.5,37.9,-6,0,4.08,3826,0.0,0.0,15.69,8.09,-6.93,0.81,-0.6,0.04,-0.84,0.36,-0.02
2022-07-07 13:53:51.118207-> 41750,39.5,37.9,-6,0,4.089,3815,0.0,0.0,19.32,13.73,-13.95,0.83,-0.62,0.12,-0.89,0.35,-0.05
2022-07-07 13:53:51.356654-> 42000,39.5,37.9,-4,0,4.089,3815,0.0,0.0,46.2,7.51,-52.03,0.9,-0.38,0.22,-0.91,0.27,-0.08
2022-07-07 13:53:51.505226-> 42250,39.5,37.88,1,1,4.092,3839,0.0,0.0,10.13,-3.81,-57.62,0.97,-0.06,0.27,-0.92,0.21,-0.09
